Application,class,Number_Api_Calls,Class_Size,Issue_Score
AnkiDroid,HttpSyncer,47,9,1.445068741496412
AnkiDroid,AnkiDroidApp,37,37,36.125357377881215
AnkiDroid,StepsPreference,14,7,9.148489947658872
AnkiDroid,MethodLogger,6,3,0.13554587387151137
AnkiDroid,CardTemplateEditor,41,30,5.324526859715042
AnkiDroid,UIUtils,9,8,5.994686610767452
AnkiDroid,DeckPickerExportCompleteDialog,8,7,0.3478024180161471
AnkiDroid,Template,18,12,2.694375381469209
AnkiDroid,JSONNameComparator,7,2,1.4228648724026245
AnkiDroid,MultimediaEditableNote,2,7,0.01680672268907563
AnkiDroid,BasicImageFieldController,38,10,4.173528839506801
AnkiDroid,NotificationService,10,3,0.5850572047271032
AnkiDroid,AnkiDb,23,17,20.30756067418711
AnkiDroid,Consts,1,1,1.1226852843551134
AnkiDroid,DatabaseErrorDialog,45,10,6.692419510994425
AnkiDroid,Sound,32,21,48.070376407895075
AnkiDroid,ActivityTransitionAnimation,2,2,0.08
AnkiDroid,BackupManager,36,12,5.44667513901204
AnkiDroid,HttpUtility,4,2,0.09330182420317906
AnkiDroid,RemoteServer,14,11,3.017900134539083
AnkiDroid,AsyncDialogFragment,1,2,0.04878048780487805
AnkiDroid,Utils,73,53,10.398677159059591
AnkiDroid,BasicControllerFactory,3,4,0.003430531732418525
AnkiDroid,Themes,22,20,2.242880102542479
AnkiDroid,SharedDeckDownload,8,8,0.013157894736842105
AnkiDroid,LanguageUtil,5,2,4.250800466007148
AnkiDroid,AudioView,28,20,7.471693572476371
AnkiDroid,SimpleMessageDialog,7,6,0.35619047619047617
AnkiDroid,HtmlUtil,2,2,0.13038705347154897
AnkiDroid,DeckPickerNoSpaceLeftDialog,6,5,0.022857142857142857
AnkiDroid,FullSyncer,14,3,0.6877135377664563
AnkiDroid,LaTeX,7,7,5.680167602384284
AnkiDroid,Statistics,51,17,19.729004636140758
AnkiDroid,Stats,24,19,1.1462369932441343
AnkiDroid,Preferences,58,24,49.61341061262965
AnkiDroid,CompatV8,3,4,2.794672152257895
AnkiDroid,Storage,16,12,5.962657658659376
AnkiDroid,CramDeckOptions,63,30,4.682332107209636
AnkiDroid,Finder,36,32,12.460162814492596
AnkiDroid,CustomFontsReviewerExt,10,8,4.346323974591854
AnkiDroid,Sched,53,115,29.92950879521756
AnkiDroid,MetaDB,15,26,5.367334685738164
AnkiDroid,Previewer,9,7,3.0591466385685044
AnkiDroid,ConfirmationDialog,9,4,0.572034632034632
AnkiDroid,DeckPickerContextMenu,6,4,4.984647530405097
AnkiDroid,CompatV7,16,11,5.11315419110312
AnkiDroid,Threads,12,8,0.00686106346483705
AnkiDroid,ExportDialog,12,5,3.3969047619047625
AnkiDroid,Info,163,27,31.586727189016464
AnkiDroid,AudioField,6,5,0.09791785654310439
AnkiDroid,CollectionLoader,10,8,1.91720047080492
AnkiDroid,Lookup,15,8,0.3140653434167867
AnkiDroid,CustomDialogPreference,8,2,0.13378821497352172
AnkiDroid,FieldControllerBase,1,1,0.23529411764705882
AnkiDroid,WidgetStatus,12,8,5.505048090610323
AnkiDroid,StyledDialog,56,29,5.563468107132152
AnkiDroid,StyledProgressDialog,12,5,1.1400284806660412
AnkiDroid,BasicTextFieldController,42,17,1.0550421176403764
AnkiDroid,DialogHandler,6,3,5.548157335797786
AnkiDroid,NoteEditor,139,76,34.68469988677997
AnkiDroid,GoogleTranslaterFilter,5,4,0.023990225334241874
AnkiDroid,EditFieldActivity,20,17,1.4453956386609088
AnkiDroid,NavigationDrawerActivity,25,15,44.98448604647069
AnkiDroid,Download,7,7,0.08
AnkiDroid,AnkiActivity,21,38,28.395795524405763
AnkiDroid,Upgrade,3,2,0.003430531732418525
AnkiDroid,AbstractFlashcardViewer,174,105,192.53940771754296
AnkiDroid,DiffEngine,30,26,5.06663374370811
AnkiDroid,SdCardReceiver,5,2,0.287719844343762
AnkiDroid,Note,25,22,5.083888761536919
AnkiDroid,DeckPicker,147,88,236.81506684435388
AnkiDroid,DeckPickerBackupNoSpaceLeftDialog,8,5,1.0750690281808568
AnkiDroid,FieldEditText,5,5,0.37761882654288687
AnkiDroid,Leech,7,4,0.006650912101589529
AnkiDroid,FilterFacade,5,2,0.015993483556161252
AnkiDroid,Tags,25,18,2.247611955297219
AnkiDroid,Models,39,54,15.78701365423004
AnkiDroid,ReadText,28,12,24.57943004549089
AnkiDroid,ChessFilter,9,6,0.017868034248841157
AnkiDroid,Syncer,26,30,25.946564146593115
AnkiDroid,DeckTask,41,44,57.69895130111729
AnkiDroid,RemoteMediaServer,15,7,2.7231831437029292
AnkiDroid,CustomStudyDialog,32,7,4.832834138121272
AnkiDroid,Card,29,25,18.08048820636558
AnkiDroid,Base64,40,26,0.35185663823554647
AnkiDroid,MediaCheckDialog,21,8,1.3335782916270722
AnkiDroid,BitmapUtil,10,3,0.013301824203179057
AnkiDroid,SearchImageActivity,42,28,1.9838935574229688
AnkiDroid,LanguagesListerGlosbe,3,2,0.5
AnkiDroid,AnkiDatabaseManager,5,6,0.023990225334241874
AnkiDroid,LoadPronounciationActivity,27,22,0.5
AnkiDroid,Connection,46,29,29.207246327710845
AnkiDroid,ChartView,5,3,0.21125708413085556
AnkiDroid,NoteService,10,7,2.5620708661023697
AnkiDroid,HtmlColors,11,4,0.015711367459745253
AnkiDroid,InfoStatsBuilder,6,5,0.9190010002750317
AnkiDroid,VideoPlayer,8,7,0.7012290333409132
AnkiDroid,Hook,3,3,0.02137293273473773
AnkiDroid,StyledOpenCollectionDialog,10,5,0.10791550476572326
AnkiDroid,NoteFactory,1,2,0.0045662100456621
AnkiDroid,Hooks,10,5,0.27605599275279935
AnkiDroid,Reviewer,25,17,112.81514098771186
AnkiDroid,AnkiPackageExporter,10,7,0.6666666666666666
AnkiDroid,DeckPickerConfirmDeleteDeckDialog,7,4,0.2956959878609364
AnkiDroid,TranslationActivity,33,23,1.6739130434782608
AnkiDroid,AnkiDroidWidgetSmall,18,8,2.5640896854737942
AnkiDroid,ImageField,6,5,0.09791785654310439
AnkiDroid,NumberRangePreference,11,10,5.605168230139522
AnkiDroid,DiskUtil,3,2,0.10723394252806018
AnkiDroid,CompatV16,2,3,1.1770358868184954
AnkiDroid,Media,43,37,25.889800995418955
AnkiDroid,CompatV15,3,3,0.48456621004566214
AnkiDroid,CompatV12,1,2,1.8114219114219114
AnkiDroid,AnkiStatsTaskHandler,35,9,4.747263488681028
AnkiDroid,TagsDialog,70,16,16.228390493817898
AnkiDroid,CardStats,9,2,0.0182648401826484
AnkiDroid,Decks,27,43,6.407279360558954
AnkiDroid,FuriganaFilters,16,6,6.737691271919861
AnkiDroid,Collection,37,61,28.964731073987828
AnkiDroid,CustomExceptionHandler,29,8,1.3758059364575894
AnkiDroid,StudyOptionsFragment,78,46,109.76233759056112
AnkiDroid,AnkiFont,17,8,4.195769489366343
AnkiDroid,Whiteboard,16,10,0.1542649257525217
AnkiDroid,ReviewerExtRegistry,1,3,0.003430531732418525
AnkiDroid,BasicAudioFieldController,6,3,0.028283097611418763
AnkiDroid,AnkiDroidWidgetMedium,25,14,1.0582900601749199
AnkiDroid,AbstractCardFilter,3,2,0.007996741778080626
