Application,class,Number_Api_Calls,Class_Size,Issue_Score
AnkiDroid,HttpSyncer,47,9,1.445068741496412
AnkiDroid,PreviewClass,0,0,2.883499865251578
AnkiDroid,StepsPreference,14,7,9.148489947658872
AnkiDroid,ExifUtil,6,2,0
AnkiDroid,UIUtils,9,8,5.994686610767452
AnkiDroid,Template,18,12,2.694375381469209
AnkiDroid,TextField,0,4,0.00749063670411985
AnkiDroid,JSONNameComparator,7,2,1.4228648724026245
AnkiDroid,MultimediaEditableNote,2,7,0.01680672268907563
AnkiDroid,ViewHolder,0,0,1.799834752676684
AnkiDroid,YAxis,0,0,0.4223602484472051
AnkiDroid,MySearchesArrayAdapter,0,0,0.2
AnkiDroid,YAxisHistoGram,0,0,0.028985507246376812
AnkiDroid,LanguagesLister,8,4,0
AnkiDroid,Consts,1,1,1.1226852843551134
AnkiDroid,NoteEditorRescheduleCard,0,0,0.8333333333333333
AnkiDroid,NumberRangePreference,11,10,5.605168230139522
AnkiDroid,ActivityTransitionAnimation,2,2,0.08
AnkiDroid,ChartFragment,0,0,0.25628697507516246
AnkiDroid,CrashReportingTree,0,0,0.3107142857142857
AnkiDroid,StatisticFragment,0,0,0.5893051823580756
AnkiDroid,DeckAdapter,0,0,11.733536624477926
AnkiDroid,AnkiDroidWebChromeClient,0,0,0.5074531463569257
AnkiDroid,AsyncDialogFragment,1,2,0.04878048780487805
AnkiDroid,DeckStatus,1,1,0
AnkiDroid,MultipleCategorySeries,0,0,0.01680672268907563
AnkiDroid,Deck,0,0,0.14375306019822187
AnkiDroid,Themes,22,20,2.242880102542479
AnkiDroid,DisplayPair,0,0,0.10526315789473684
AnkiDroid,AudioView,28,20,7.471693572476371
AnkiDroid,SimpleMessageDialog,7,6,0.35619047619047617
AnkiDroid,CardTemplate,0,0,0.021961063627730294
AnkiDroid,SharedDecksAdapter,0,0,0.6110841423948221
AnkiDroid,DeckPickerNoSpaceLeftDialog,6,5,0.022857142857142857
AnkiDroid,LaTeX,7,7,5.680167602384284
AnkiDroid,DeckPicker,147,88,236.81506684435388
AnkiDroid,Stats,24,19,1.1462369932441343
AnkiDroid,UrlTools,3,2,0
AnkiDroid,Storage,16,12,5.962657658659376
AnkiDroid,DeckListComparator,0,0,0.0027155465037338763
AnkiDroid,FunctionDrawer,0,0,0.08695652173913043
AnkiDroid,Previewer,9,7,3.0591466385685044
AnkiDroid,ConfirmationDialog,9,4,0.572034632034632
AnkiDroid,BaseAsyncTask,1,7,0
AnkiDroid,above,0,0,0.08355712106258592
AnkiDroid,BitmapUtil,10,3,0.013301824203179057
AnkiDroid,"XYEntry<K,",0,0,0.0045662100456621
AnkiDroid,Info,163,27,31.586727189016464
AnkiDroid,AnkiFileFilter,0,0,0.0777155465037339
AnkiDroid,Lookup,15,8,0.3140653434167867
AnkiDroid,ModelBrowser,0,0,8.562215562215563
AnkiDroid,UpdateService,0,0,0.24510316125033196
AnkiDroid,DeckPreferenceHack,0,0,0.6438009073363613
AnkiDroid,DeckPickerConfirmDeleteDeckDialog,7,4,0.2956959878609364
AnkiDroid,TagsArrayAdapter,0,0,0.4087336244541485
AnkiDroid,GoogleTranslaterFilter,5,4,0.023990225334241874
AnkiDroid,DownloadManagerService,0,0,4.837339266556591
AnkiDroid,PieChart,0,0,0.06710343458407783
AnkiDroid,NavigationDrawerActivity,25,15,44.98448604647069
AnkiDroid,XAxis,0,0,0.14285714285714285
AnkiDroid,Download,7,7,0.08
AnkiDroid,Payload,0,0,0.06341928005194768
AnkiDroid,Compat,1,0,0
AnkiDroid,AnkiDroidCrashReportDialog,12,6,0
AnkiDroid,OldAnkiDeckFilter,0,0,0.25792412728683106
AnkiDroid,ViewAnimation,6,3,0
AnkiDroid,Note,25,22,5.083888761536919
AnkiDroid,WidgetContentBinder,0,0,0.0777155465037339
AnkiDroid,FullSyncer,14,3,0.6877135377664563
AnkiDroid,OptionRange,0,0,0.40855614973262033
AnkiDroid,Leech,7,4,0.006650912101589529
AnkiDroid,ConfirmModSchemaException,1,1,0
AnkiDroid,Tags,25,18,2.247611955297219
AnkiDroid,CompatV19,0,0,2.2142857142857144
AnkiDroid,AnkiStatsActivity,0,0,8.655673193410424
AnkiDroid,ChessFilter,9,6,0.017868034248841157
AnkiDroid,DeckPickerBackupNoSpaceLeftDialog,8,5,1.0750690281808568
AnkiDroid,ShowcaseView,0,0,2.880000000000001
AnkiDroid,CustomStudyDialog,32,7,4.832834138121272
AnkiDroid,Card,29,25,18.08048820636558
AnkiDroid,"Pair<FIRST,",0,0,0.007996741778080626
AnkiDroid,Base64,40,26,0.35185663823554647
AnkiDroid,MediaCheckDialog,21,8,1.3335782916270722
AnkiDroid,ColorWrap,0,0,0.025386996904024767
AnkiDroid,LanguagesListerGlosbe,3,2,0.5
AnkiDroid,AnkiDatabaseManager,5,6,0.023990225334241874
AnkiDroid,LoadPronounciationActivity,27,22,0.5
AnkiDroid,Connection,46,29,29.207246327710845
AnkiDroid,MathHelper,0,0,0.03361344537815126
AnkiDroid,ChartView,5,3,0.21125708413085556
AnkiDroid,MultimediaEditFieldActivity,0,0,0.4285714285714285
AnkiDroid,NoteService,10,7,2.5620708661023697
AnkiDroid,YGrid,0,0,0.08695652173913043
AnkiDroid,HtmlColors,11,4,0.015711367459745253
AnkiDroid,FilteredDeckOptions,0,0,4.218688375585369
